scope,arm,seed,val_best,test_cost,test_std,service
single,supplied,0,214.60117790699005,302.8133579611778,68.62579944466123,0.8725000000000002
single,supplied,1,189.74177923202515,385.1712089657784,51.39983821942952,0.805
single,supplied,2,182.85626034736637,398.9002786874771,71.5496757844663,0.7925
single,supplied,3,200.59520044326783,417.4893279790878,70.23478277171968,0.74
single,supplied,4,189.3485895872116,339.3247658967972,46.87710944522516,0.8550000000000001
single,zeros,0,202.19032428264617,439.2551258802414,38.84614321792558,0.7424999999999999
single,zeros,1,198.49663186073303,486.85760831832886,57.10881763967544,0.6825
single,zeros,2,197.78227717876436,367.40955045223234,35.00610239785468,0.8024999999999999
single,zeros,3,195.9603242635727,483.4755492210388,119.87779227169078,0.7025
single,zeros,4,203.264288854599,544.550164937973,83.02396525461462,0.6525000000000001
single,persistence,0,195.1013399362564,402.2733909845352,68.05312297859521,0.7575
single,persistence,1,207.02052155733108,305.3645367860794,61.89460528565649,0.8074999999999999
single,persistence,2,208.68163669109344,357.9443301677704,20.721782435616,0.805
single,persistence,3,186.88776621818545,500.6641422629356,141.6635365683176,0.6325
single,persistence,4,200.15104472637177,595.1941229581832,81.58297623868333,0.6075
single,supplied,5,194.4807658672333,356.02160547971727,95.43676814936752,0.7674999999999998
single,supplied,6,199.9809673666954,512.8771270632744,114.25250733024647,0.7175
single,supplied,7,196.2146875858307,551.19460003376,78.53066106005383,0.6874999999999999
single,supplied,8,203.7716289281845,371.74572924375536,66.61688054639444,0.7975
single,supplied,9,193.3147969722748,385.0374030590057,54.60812130384564,0.7425
single,zeros,5,207.15489830970765,543.5741199970246,84.72007810332012,0.6675
single,zeros,6,202.1392015814781,415.8282965898514,67.67893488366231,0.7825
single,zeros,7,191.284081697464,418.1671607255936,71.25528271205695,0.7575
single,zeros,8,205.7209059715271,302.7075497508049,64.56948660885132,0.8225
single,zeros,9,209.65489835739132,496.1599930882454,54.29017826272536,0.7150000000000001
single,persistence,5,191.3726417541504,405.97785168886185,54.62777040813971,0.7875
single,persistence,6,193.98431340456008,529.2463887810707,54.1177467402643,0.655
single,persistence,7,213.84391350746156,343.81539117097856,41.9840115770668,0.8550000000000001
single,persistence,8,202.264288854599,534.9100309848785,97.49535368230754,0.65
single,persistence,9,191.3726417541504,385.562660253048,53.42429979714564,0.7525
single,supplied,10,199.0941409230232,499.54631530046464,60.51797793780779,0.7550000000000001
single,supplied,11,188.2495116949081,364.2533886790276,79.69005296817338,0.85
single,supplied,12,199.51960096359247,470.3191625118256,100.22706586465696,0.6975
single,supplied,13,189.52582099437717,425.4200345039368,57.853129135263785,0.7375
single,supplied,14,194.99535517692567,368.80972468853,55.6131830724174,0.7875
single,zeros,10,187.21643055677413,435.75554995536805,45.27364574122242,0.7625
single,zeros,11,199.93667616844175,372.81053647995,109.11787856171144,0.7699999999999999
single,zeros,12,194.9287119865417,369.0803330183029,29.830724452322645,0.825
single,zeros,13,182.8275336265564,462.765523481369,88.73212237644618,0.7
single,zeros,14,200.53064846992493,372.0615806818008,35.553924580819455,0.8375
single,persistence,10,189.71009271144868,414.5053659915924,58.2844220574373,0.7424999999999999
single,persistence,11,216.88676953315732,345.9715649843216,99.37651377963364,0.8400000000000001
single,persistence,12,209.08276550769807,525.4853668093681,76.5453942106976,0.71
single,persistence,13,212.09099913835524,465.1309710383415,56.09099888725317,0.6275
single,persistence,14,203.7769295692444,339.6941244125366,27.113932515299695,0.8225
single,supplied,15,195.75981409549712,387.206340956688,69.03588135566801,0.7699999999999999
single,supplied,16,185.7491762638092,462.0211432814598,125.17746277574888,0.6725
single,supplied,17,181.10626034736637,383.4883811712265,80.17205442906932,0.8100000000000002
single,supplied,18,186.6807048678398,479.3014308571816,68.78098020310063,0.7474999999999999
single,supplied,19,189.7158135175705,477.848566031456,85.95823600205186,0.655
single,zeros,15,186.6839305639267,414.6776191592217,58.17078420111163,0.7825
single,zeros,16,196.98668496608732,418.3730773687363,70.42792987640233,0.7875
single,zeros,17,197.12957265377045,407.5288605928421,52.826943618931416,0.8
single,zeros,18,202.1660447359085,541.213793683052,75.06413088084065,0.6975
single,zeros,19,196.01640605926517,395.567044711113,63.16612225277856,0.7575
single,persistence,15,189.5433209657669,394.8570446968079,64.07177698905858,0.7575
single,persistence,16,192.27609524726867,396.1539602279663,62.61945513476585,0.7375
single,persistence,17,203.21104474067687,539.9301650047303,77.2443316730274,0.6525000000000001
single,persistence,18,193.1477197885513,378.17080425024034,42.85897561001493,0.82
single,persistence,19,208.95159957408904,382.7865528225899,84.53253842023348,0.7725
