scope,arm,seed,val_best,test_cost,test_std,service
single,supplied,0,214.60117790699005,302.8133579611778,68.62579944466123,0.8725000000000002
single,supplied,1,189.74177923202515,385.17120896577836,51.39983821942952,0.805
single,supplied,2,182.85626034736634,398.9002786874771,71.5496757844663,0.7925
single,supplied,3,200.59520044326783,417.4893279790878,70.23478277171968,0.74
single,supplied,4,189.34858958721162,339.3247658967972,46.87710944522516,0.8550000000000001
single,zeros,0,202.19032428264617,439.2551258802414,38.84614321792558,0.7424999999999999
single,zeros,1,198.49663186073303,486.85760831832886,57.108817639675436,0.6825
single,zeros,2,197.78227717876433,367.40955045223234,35.006102397854676,0.8024999999999999
single,zeros,3,195.9603242635727,483.4755492210388,119.87779227169078,0.7025
single,zeros,4,203.264288854599,544.550164937973,83.02396525461462,0.6525000000000001
single,persistence,0,195.1013399362564,402.27339098453524,68.05312297859521,0.7575
single,persistence,1,207.02052155733108,305.3645367860794,61.89460528565649,0.8074999999999999
single,persistence,2,208.68163669109344,357.9443301677704,20.721782435615996,0.805
single,persistence,3,186.88776621818542,500.6641422629356,141.6635365683176,0.6325
single,persistence,4,200.15104472637177,595.1941229581832,81.58297623868333,0.6075
shared,supplied,42,283.85682495063077,518.3154790412129,474.35058136274597,0.79
shared,zeros,42,290.30848455562125,540.3745967430526,561.2695967606717,0.8475000000000001
shared,persistence,42,293.0779310531056,508.7685611027215,471.041274037367,0.825
