steps,eps,avg_cost,std_cost,avg_service_level
10000,0.7800220000000002,410.8325961881582,363.56804222955105,0.87
20000,0.5600219999999998,408.3793762341002,376.9131616126968,0.892
30000,0.34002199999999994,417.2320238085423,397.9113873480431,0.955
40000,0.12002199999999996,372.91255288067106,386.82872432121496,0.927
50000,0.01,416.61205144901425,375.0886884461681,0.9430000000000001
60000,0.01,379.4850209399303,397.6594617887221,0.9020000000000001
70000,0.01,410.1950631787382,358.88888067989205,0.958
80000,0.01,379.8862909851265,376.3909580505948,0.9590000000000001
90000,0.01,431.5024061788917,360.83365487864137,0.958
100000,0.01,408.27870851225765,429.44214294639585,0.8480000000000001
110000,0.01,402.2841314220163,360.55005040861954,0.9460000000000001
120000,0.01,407.6637859522505,369.9904244292349,0.9540000000000002
130000,0.01,357.3912821806885,366.6028343293856,0.9329999999999999
140000,0.01,426.50219240130906,360.82069059517517,0.935
150000,0.01,384.0822397402273,360.06383355565214,0.9520000000000002
