variant,steps,train,val,eps
CHUNKED,5000,243.0917065779368,255.60958744684856,0.01
CHUNKED,10000,200.09129338264466,223.00843183199564,0.01
CHUNKED,15000,196.3318282922109,205.98684284289678,0.01
CHUNKED,20000,186.0381489356359,185.25686400731405,0.01
CHUNKED,25000,188.4600498835246,182.4146861712138,0.01
CHUNKED,30000,208.34999147256215,282.07008495926857,0.01
CHUNKED,35000,183.50074416001638,201.48417580127716,0.01
CHUNKED,40000,216.13397653102874,216.0936423619588,0.01
CHUNKED,45000,212.5352028131485,256.3989937722683,0.01
CHUNKED,50000,195.5025653441747,260.5458165645599,0.01
CHUNKED,55000,254.0383608977,241.81354862650235,0.01
CHUNKED,60000,200.58871165116628,270.49033640027045,0.01
SINGLE,5000,261.91651123364767,293.8875195920467,0.79379125
SINGLE,10000,209.39925345579783,210.1704864124457,0.5875412500000001
SINGLE,15000,191.94026188850404,186.5109994848569,0.3812912500000001
SINGLE,20000,178.75004793008168,185.3694789469242,0.17504124999999993
SINGLE,25000,193.19713173707325,203.489818106095,0.01
SINGLE,30000,213.62512612342834,317.4332781612873,0.01
SINGLE,35000,234.29317825635275,212.12823274930318,0.01
SINGLE,40000,183.47825345993041,224.1855951488018,0.01
SINGLE,45000,199.41913134256998,179.36705692609152,0.01
SINGLE,50000,177.41197989781696,198.34795073866843,0.01
SINGLE,55000,189.030935382843,228.4070712486903,0.01
SINGLE,60000,197.13490200837452,266.2208359718323,0.01
